Max Eval,Avg Eval,Min Eval
993.3,990.48,988.1
993.1,991.0033333333332,988.0
994.0,991.0866666666669,987.1
993.4,990.8866666666667,987.1
994.4,990.5633333333333,979.7
993.4,990.6366666666669,984.5
994.1999999999999,990.1666666666667,981.9
992.5,990.5066666666665,986.5
992.7,989.7466666666667,985.1999999999999
992.9,991.03,987.6
993.0,990.5133333333332,986.1
993.8000000000001,990.5099999999999,981.3
994.1999999999999,990.0533333333333,986.5
993.6,990.0966666666666,984.3
993.1999999999999,991.0933333333335,987.3
993.1,990.5,982.1
993.1999999999999,990.91,987.7
993.5,990.4866666666668,985.0
992.6,990.4266666666665,986.3
993.6,990.7866666666669,979.8
994.4,991.1700000000001,986.1999999999999
993.9,990.9833333333331,984.1
993.5,990.6266666666668,987.4000000000001
993.1999999999999,991.1533333333333,988.3
993.8000000000001,990.4733333333334,983.8
